Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp,doy_sin,doy_cos,month_sin,month_cos,season_春,season_夏,season_秋,season_冬,season,month,Tmean,Trange,Prcp_cum7,Prcp_cum30,Tmean_roll7,melt_index,Discharge_lag1,Discharge_lag2,Discharge_lag3,Discharge_lag7,Discharge_lag14,Discharge_lag30,Prcp_lag1,Prcp_lag2,Prcp_lag3,Prcp_lag7,Prcp_lag14,Prcp_lag30,Tmax_lag1,Tmax_lag2,Tmax_lag3,Tmax_lag7,Tmax_lag14,Tmax_lag30,Tmin_lag1,Tmin_lag2,Tmin_lag3,Tmin_lag7,Tmin_lag14,Tmin_lag30,Vp_lag1,Vp_lag2,Vp_lag3,Vp_lag7,Vp_lag14,Vp_lag30,Srad_lag1,Srad_lag2,Srad_lag3,Srad_lag7,Srad_lag14,Srad_lag30,Discharge_roll3_mean,Discharge_roll3_std,Discharge_roll3_max,Discharge_roll7_mean,Discharge_roll7_std,Discharge_roll7_max,Discharge_roll14_mean,Discharge_roll14_std,Discharge_roll14_max,Discharge_roll30_mean,Discharge_roll30_std,Discharge_roll30_max,Prcp_roll3_mean,Prcp_roll3_std,Prcp_roll3_max,Prcp_roll7_mean,Prcp_roll7_std,Prcp_roll7_max,Prcp_roll14_mean,Prcp_roll14_std,Prcp_roll14_max,Prcp_roll30_mean,Prcp_roll30_std,Prcp_roll30_max
2000-01-31,141.0,34214.4,4.54,238.3,0.0,3.22,-14.77,200.0,0.5083564379375122,0.8611467540480452,0.49999999999999994,0.8660254037844387,0,0,0,1,冬,1,-5.7749999999999995,17.99,22.09,88.38,-11.803571428571429,0.0,148.0,153.0,170.0,159.0,205.0,265.0,0.0,0.0,0.0,0.0,9.24,0.0,-5.27,-15.04,-12.31,-10.06,-6.66,-8.35,-17.91,-21.79,-20.76,-24.78,-21.72,-18.89,160.0,111.63,117.11,81.08,110.25,139.01,269.93,176.22,209.57,277.85,192.17,183.41,147.33333333333334,6.027713773342138,153.0,154.85714285714286,9.406178314073966,170.0,163.78571428571428,14.033907134171546,193.0,234.86666666666667,79.17145660040542,390.0,1.5133333333333334,2.621170222120901,4.54,3.1557142857142857,6.568921416140444,17.55,1.7478571428571428,4.712899121758086,17.55,2.9459999999999997,5.253951288119356,17.55
2000-02-01,158.0,34309.69,9.52,118.33,0.0,-0.54,-6.4,367.38,0.5230943033491326,0.8522748088519838,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-3.47,5.86,31.61,97.89999999999999,-10.866428571428571,0.0,141.0,148.0,153.0,157.0,193.0,257.0,4.54,0.0,0.0,0.0,0.0,0.0,3.22,-5.27,-15.04,-3.19,-16.38,-1.34,-14.77,-17.91,-21.79,-16.87,-24.31,-12.53,200.0,160.0,111.63,165.56,89.86,230.34,238.3,269.93,176.22,270.43,176.77,189.38,149.0,8.544003745317838,158.0,155.0,9.451631252503361,170.0,161.28571428571428,11.27576414895499,182.0,231.56666666666666,80.27267467108948,390.0,4.6866666666666665,4.7616943763048605,9.52,4.515714285714286,6.788504639321922,17.55,2.4278571428571425,5.11126986866568,17.55,3.263333333333333,5.356380876296422,17.55
2000-02-02,150.0,34559.99,0.0,290.91,0.0,-1.84,-14.51,200.26,0.5376773767406141,0.8431506618282,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-8.175,12.67,14.059999999999999,91.85999999999999,-10.567142857142857,0.0,158.0,141.0,148.0,153.0,182.0,250.0,9.52,4.54,0.0,17.55,0.0,6.04,-0.54,3.22,-5.27,-4.77,-13.77,6.07,-6.4,-14.77,-17.91,-15.77,-27.78,-7.83,367.38,200.0,160.0,181.02,65.06,337.69,118.33,238.3,269.93,183.6,257.79,157.23,149.66666666666666,8.50490054811569,158.0,154.57142857142858,9.623879031815207,170.0,159.0,9.915023565665074,178.0,228.23333333333332,81.54697539088923,390.0,4.6866666666666665,4.76169437630486,9.52,2.0085714285714285,3.7193522221458086,9.52,2.4278571428571425,5.11126986866568,17.55,3.0619999999999994,5.36192541331293,17.55
2000-02-03,146.0,34565.07,0.0,157.87,0.0,-12.04,-17.41,160.0,0.5521013427459208,0.8337770129585915,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-14.725,5.370000000000001,14.059999999999999,80.35999999999999,-11.240714285714287,0.0,150.0,158.0,141.0,162.0,178.0,285.0,0.0,9.52,4.54,0.0,0.0,11.5,-1.84,-0.54,3.22,-3.93,-9.04,8.24,-14.51,-6.4,-14.77,-16.09,-28.53,-5.65,200.26,367.38,200.0,176.91,61.24,405.52,290.91,118.33,238.3,261.65,287.48,158.76,151.33333333333334,6.110100926608223,158.0,152.28571428571428,9.464218328599177,170.0,156.71428571428572,8.826782421250078,171.0,223.6,82.15695659675674,390.0,3.1733333333333333,5.4963745626852365,9.52,2.0085714285714285,3.7193522221458086,9.52,2.4278571428571425,5.11126986866568,17.55,2.678666666666666,5.144547655014252,17.55
2000-02-04,142.0,34905.6,0.0,339.24,0.0,-8.09,-25.26,78.17,0.5663619330814524,0.8241566360566663,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-16.675,17.17,14.059999999999999,68.77,-11.260714285714286,0.0,146.0,150.0,158.0,170.0,171.0,360.0,0.0,0.0,9.52,0.0,1.38,11.59,-12.04,-1.84,-0.54,-12.31,-9.7,3.81,-17.41,-14.51,-6.4,-20.76,-27.32,-7.94,160.0,200.26,367.38,117.11,69.18,335.83,157.87,290.91,118.33,209.57,275.15,148.52,146.0,4.000000000000673,150.0,148.28571428571428,6.019808571545927,158.0,154.64285714285714,8.616684556559687,170.0,216.33333333333334,79.26660963040392,390.0,0.0,0.0,0.0,2.0085714285714285,3.7193522221458086,9.52,2.329285714285714,5.146219619645705,17.55,2.292333333333333,4.880681611056569,17.55
2000-02-05,139.0,34905.6,0.0,355.05,0.0,-5.82,-26.52,79.96,0.580454927809098,0.8142923779467267,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-16.17,20.7,14.059999999999999,68.77,-10.94,0.0,142.0,146.0,150.0,153.0,165.0,390.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.09,-12.04,-1.84,-15.04,-12.47,-7.04,-25.26,-17.41,-14.51,-21.79,-23.31,-16.43,78.17,160.0,200.26,111.63,97.48,172.11,339.24,157.87,290.91,176.22,229.18,176.98,142.33333333333334,3.5118845842850166,146.0,146.28571428571428,6.499084184564555,158.0,152.78571428571428,9.00579788827159,170.0,207.96666666666667,73.32802227371678,380.0,0.0,0.0,0.0,2.0085714285714285,3.7193522221458086,9.52,2.257857142857143,5.172959543584354,17.55,2.292333333333333,4.880681611056569,17.55
2000-02-06,137.0,35250.53,0.0,362.14,0.0,-4.14,-26.58,71.6,0.5943761565849831,0.804187157621448,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-15.36,22.439999999999998,14.059999999999999,68.77,-11.478571428571428,0.0,139.0,142.0,146.0,148.0,161.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.82,-8.09,-12.04,-5.27,-19.38,-4.74,-26.52,-25.26,-17.41,-17.91,-26.12,-15.16,79.96,78.17,160.0,160.0,73.69,187.12,355.05,339.24,157.87,269.93,163.49,190.72,139.33333333333334,2.5166114784246663,142.0,144.71428571428572,7.29644401322018,158.0,151.07142857142858,9.587365770511928,170.0,200.53333333333333,68.53075490475852,380.0,0.0,0.0,0.0,2.0085714285714285,3.7193522221458086,9.52,2.257857142857143,5.172959543584354,17.55,2.292333333333333,4.880681611056569,17.55
2000-02-07,135.0,35251.18,0.0,315.08,0.0,-6.8,-20.76,116.43,0.6081214998935418,0.7938439653781019,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-13.780000000000001,13.96,9.52,66.41,-12.622142857142858,0.0,137.0,139.0,142.0,141.0,159.0,314.0,0.0,0.0,0.0,4.54,0.0,2.36,-4.14,-5.82,-8.09,3.22,-10.06,-1.2,-26.58,-26.52,-25.26,-14.77,-24.78,-8.7,71.6,79.96,78.17,200.0,81.08,316.33,362.14,355.05,339.24,238.3,277.85,134.89,137.0,2.000000000001368,139.0,143.85714285714286,8.11230693511315,158.0,149.35714285714286,10.187527388219166,170.0,194.56666666666666,66.05884698030846,380.0,0.0,0.0,0.0,1.3599999999999999,3.5982217830478445,9.52,2.257857142857143,5.172959543584354,17.55,2.2136666666666667,4.898539883322963,17.55
2000-02-08,134.0,35587.64,0.0,351.23,0.0,-2.24,-20.48,120.1,0.6216868902665479,0.7832658619336791,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-11.36,18.240000000000002,0.0,66.41,-13.749285714285715,0.0,135.0,137.0,139.0,158.0,157.0,294.0,0.0,0.0,0.0,9.52,0.0,0.0,-6.8,-4.14,-5.82,-0.54,-3.19,-4.12,-20.76,-26.58,-26.52,-6.4,-16.87,-12.26,116.43,71.6,79.96,367.38,165.56,242.56,315.08,362.14,355.05,118.33,270.43,161.6,135.33333333333334,1.5275252316537407,137.0,140.42857142857142,5.9120538692015385,150.0,147.71428571428572,10.701750909429443,170.0,189.23333333333332,64.18651879797105,380.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257857142857143,5.172959543584354,17.55,2.2136666666666667,4.898539883322963,17.55
2000-02-09,134.0,35596.84,0.0,318.04,0.0,-7.22,-21.26,111.76,0.6350683134867438,0.7724559775191742,0.8660254037844386,0.5000000000000001,0,0,0,1,冬,2,-14.24,14.040000000000003,0.0,66.41,-14.615714285714287,0.0,134.0,135.0,137.0,150.0,153.0,288.0,0.0,0.0,0.0,0.0,17.55,0.0,-2.24,-6.8,-4.14,-1.84,-4.77,1.88,-20.48,-20.76,-26.58,-14.51,-15.77,-7.61,120.1,116.43,71.6,200.26,181.02,350.24,351.23,315.08,362.14,290.91,183.6,178.96,134.33333333333334,0.5773502691943845,135.0,138.14285714285714,4.525062483121039,146.0,146.35714285714286,11.17419515502744,170.0,184.1,62.14074680749415,380.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0042857142857142,2.7332953182382798,9.52,2.2136666666666667,4.898539883322963,17.55
